id,topic,subject_id,question,question_kn,option_a,option_a_kn,option_b,option_b_kn,option_c,option_c_kn,option_d,option_d_kn,correct_answer
c72bbeab-5b08-4c7e-bd88-1f5b29511314,Printer and Scanner,ictsm,What is the main advantage of dot matrix printer?,ಡಾಟ್ ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಪ್ರಿಂಟರ್‌ನ ಮುಖ್ಯ ಪ್ರಯೋಜನವೇನು?,Speed,ವೇಗ,To make carbon copy,ಕಾರ್ಬನ್ ಕಾಪಿ ಮಾಡಲು,Colour print,ಬಣ್ಣ ಮುದ್ರಣ,Photo print,ಫೋಟೋ ಮುದ್ರಣ,B
bf203bb9-56ac-49cd-b482-3af8e8baa141,Printer and Scanner,ictsm,What is the main objective of VIRUS scanning?,ವೈರಸ್ ಸ್ಕ್ಯಾನಿಂಗ್‌ನ ಮುಖ್ಯ ಉದ್ದೇಶವೇನು?,Detection of the live system running on network,ನೆಟ್ವರ್ಕ್ನಲ್ಲಿ ಚಾಲನೆಯಲ್ಲಿರುವ ಲೈವ್ ಸಿಸ್ಟಮ್ನ ಪತ್ತೆ,Discovering the IP address of the target system,ಗುರಿ ವ್ಯವಸ್ಥೆಯ IP ವಿಳಾಸವನ್ನು ಕಂಡುಹಿಡಿಯುವುದು,Discovering the services running on target system,ಗುರಿ ವ್ಯವಸ್ಥೆಯಲ್ಲಿ ಕಾರ್ಯನಿರ್ವಹಿಸುತ್ತಿರುವ ಸೇವೆಗಳನ್ನು ಕಂಡುಹಿಡಿಯುವುದು,Detection of spyware in a system,ಒಂದು ವ್ಯವಸ್ಥೆಯಲ್ಲಿ ಸ್ಪೈವೇರ್ ಪತ್ತೆ,D
a1c25728-6687-4263-a1ca-b5e2afcdcb43,Printer and Scanner,ictsm,Which technology is particularly used in barcode wand reader and barcode slot reader?,ಬಾರ್‌ಕೋಡ್ ವಾಂಡ್ ರೀಡರ್ ಮತ್ತು ಬಾರ್‌ಕೋಡ್ ಸ್ಲಾಟ್ ರೀಡರ್‌ನಲ್ಲಿ ನಿರ್ದಿಷ್ಟವಾಗಿ ಯಾವ ತಂತ್ರಜ್ಞಾನವನ್ನು ಬಳಸಲಾಗುತ್ತದೆ?,Camera based reader,ಕ್ಯಾಮೆರಾ ಆಧಾರಿತ ಓದುಗ,Laser scanner,ಲೇಸರ್ ಸ್ಕ್ಯಾನರ್,QR code scanner,QR ಕೋಡ್ ಸ್ಕ್ಯಾನರ್,Pen type reader,ಪೆನ್ ಟೈಪ್ ರೀಡರ್,D
0e1bf7c2-96ce-4051-a672-db4048ea0ddf,Printer and Scanner,ictsm,Which condition we need to change the toner in printer?,ಪ್ರಿಂಟರ್‌ನಲ್ಲಿ ಟೋನರನ್ನು ಬದಲಾಯಿಸಲು ನಾವು ಯಾವ ಸ್ಥಿತಿಯ ಅಗತ್ಯವಿದೆ?,Printer installation,ಪ್ರಿಂಟರ್ ಸ್ಥಾಪನೆ,Empty toner,ಖಾಲಿ ಟೋನರ್,Paper jam,ಪೇಪರ್ ಜಾಮ್,Speed of printing,ಮುದ್ರಣದ ವೇಗ,B
e6646dce-4f80-40c1-afb2-8b79845179e1,Printer and Scanner,ictsm,Which device includes fax features?,ಯಾವ ಸಾಧನವು ಫ್ಯಾಕ್ಸ್ ವೈಶಿಷ್ಟ್ಯಗಳನ್ನು ಒಳಗೊಂಡಿದೆ?,Scanner,ಸ್ಕ್ಯಾನರ್,MFD,MFD,Printer,ಮುದ್ರಕ,Plotter,ಪ್ಲಾಟರ್,B
9aeec24f-980f-4f0d-8e57-bdf83559988b,Printer and Scanner,ictsm,Which code is split into two halves?,ಯಾವ ಕೋಡ್ ಅನ್ನು ಎರಡು ಭಾಗಗಳಾಗಿ ವಿಂಗಡಿಸಲಾಗಿದೆ?,QR Code,QR ಕೋಡ್,Pen type reader,ಪೆನ್ ಟೈಪ್ ರೀಡರ್,Barcode,ಬಾರ್ಕೋಡ್,MFD,MFD,C
d2744192-86e9-4a67-b14a-db86ecf292e1,Printer and Scanner,ictsm,"Which device has a rigid plastic housing that is replaceable, recyclable and reusable?","ಬದಲಾಯಿಸಬಹುದಾದ, ಮರುಬಳಕೆ ಮಾಡಬಹುದಾದ ಮತ್ತು ಮರುಬಳಕೆ ಮಾಡಬಹುದಾದ ಗಟ್ಟಿಯಾದ ಪ್ಲಾಸ್ಟಿಕ್ ವಸತಿಗಳನ್ನು ಯಾವ ಸಾಧನವು ಹೊಂದಿದೆ?",Toner cartridge,ಟೋನರ್ ಕಾರ್ಟ್ರಿಡ್ಜ್,Developer roller,ಡೆವಲಪರ್ ರೋಲರ್,Developer blade,ಡೆವಲಪರ್ ಬ್ಲೇಡ್,Stirring blade,ಸ್ಫೂರ್ತಿದಾಯಕ ಬ್ಲೇಡ್,A
def9f102-2793-4fc1-8f11-88e907df4342,Linux operating system,ictsm,Which Linux command is used to get all FQDNs(Fully Qualified Domain Name) of the host system?,ಹೋಸ್ಟ್ ಸಿಸ್ಟಮ್ನ ಎಲ್ಲಾ FQDN ಗಳನ್ನು (ಸಂಪೂರ್ಣ ಅರ್ಹ ಡೊಮೇನ್ ಹೆಸರು) ಪಡೆಯಲು ಯಾವ Linux ಆಜ್ಞೆಯನ್ನು ಬಳಸಲಾಗುತ್ತದೆ?,Hostname - i,ಹೋಸ್ಟ್ ಹೆಸರು - i,Hostname - b,ಹೋಸ್ಟ್ ಹೆಸರು - ಬಿ,Hostname - a,ಹೋಸ್ಟ್ ಹೆಸರು - ಎ,Hostname - A,ಹೋಸ್ಟ್ ಹೆಸರು - ಎ,D
0b03d6bc-33d3-401d-a551-80b3ccb5479f,Linux operating system,ictsm,Which one of the following is the directory separator in Linux?,ಕೆಳಗಿನವುಗಳಲ್ಲಿ ಯಾವುದು Linux ನಲ್ಲಿ ಡೈರೆಕ್ಟರಿ ವಿಭಜಕವಾಗಿದೆ?,",",",",",",",",",",",",",",",",A
3ee01f6c-4b55-40b3-b78e-e98c3b87eb40,Linux operating system,ictsm,Write the Linux command to remove all the permission to the user and group on the directory ‘softwareʹ?,'ಸಾಫ್ಟ್‌ವೇರ್' ಡೈರೆಕ್ಟರಿಯಲ್ಲಿ ಬಳಕೆದಾರ ಮತ್ತು ಗುಂಪಿಗೆ ಎಲ್ಲಾ ಅನುಮತಿಗಳನ್ನು ತೆಗೆದುಹಾಕಲು Linux ಆಜ್ಞೆಯನ್ನು ಬರೆಯುವುದೇ?,chmod ug - rwx software,chmod ug - rwx ಸಾಫ್ಟ್‌ವೇರ್,chmod ug - a software,chmod ug - ಒಂದು ತಂತ್ರಾಂಶ,chmod ug - A software,chmod ug - ಒಂದು ಸಾಫ್ಟ್‌ವೇರ್,chmod ug - Rwx software,chmod ug - Rwx ಸಾಫ್ಟ್‌ವೇರ್,A
7b599df7-9322-4eae-8c6e-bcfbcf6ba9c1,Linux operating system,ictsm,Which linux commands gives you your IP address in your network?,ನಿಮ್ಮ ನೆಟ್‌ವರ್ಕ್‌ನಲ್ಲಿ ನಿಮ್ಮ IP ವಿಳಾಸವನ್ನು ಯಾವ ಲಿನಕ್ಸ್ ಆಜ್ಞೆಗಳು ನಿಮಗೆ ನೀಡುತ್ತವೆ?,Hostname,ಹೋಸ್ಟ್ ಹೆಸರು,Hostname -l,ಹೋಸ್ಟ್ ಹೆಸರು - ಎಲ್,Host-l,ಹೋಸ್ಟ್-ಎಲ್,Hostname - i,ಹೋಸ್ಟ್ ಹೆಸರು - i,B
b3d186f5-d7c1-4c0e-8543-6f1d93177c66,Linux operating system,ictsm,Which Linux command list the content of all sub directory?,ಯಾವ Linux ಆದೇಶವು ಎಲ್ಲಾ ಉಪ ಡೈರೆಕ್ಟರಿಯ ವಿಷಯವನ್ನು ಪಟ್ಟಿ ಮಾಡುತ್ತದೆ?,ls~,ls~,ls*/,ls*/,ls/,ls/,ls../,ls../,B
4e309af1-47fe-43b7-ac07-fd6ed9b5deb0,Linux operating system,ictsm,Which command used reveals the current logged in user?,ಯಾವ ಆಜ್ಞೆಯು ಪ್ರಸ್ತುತ ಲಾಗ್ ಇನ್ ಆಗಿರುವ ಬಳಕೆದಾರರನ್ನು ಬಹಿರಂಗಪಡಿಸುತ್ತದೆ?,$tty,$tty,$id,$id,$id root,$id ರೂಟ್,$ whoami,$ ಹೂಮಿ,D
cf013366-0610-4bf1-9246-3a4895b91506,Linux operating system,ictsm,Who is developed the VI editor?,VI ಸಂಪಾದಕವನ್ನು ಯಾರು ಅಭಿವೃದ್ಧಿಪಡಿಸಿದ್ದಾರೆ?,Bill gates,ಬಿಲ್ ಗೇಟ್ಸ್,Charles Babbage,ಚಾರ್ಲ್ಸ್ ಬ್ಯಾಬೇಜ್,Bill Joy,ಬಿಲ್ ಜಾಯ್,Simon Franklin,ಸೈಮನ್ ಫ್ರಾಂಕ್ಲಿನ್,C
f199657d-1cc4-499e-ab23-2f7bff5cbf98,Linux operating system,ictsm,Which editor display oriented text editor based on the pine message composer?,ಪೈನ್ ಸಂದೇಶ ಸಂಯೋಜಕವನ್ನು ಆಧರಿಸಿ ಯಾವ ಸಂಪಾದಕವು ಆಧಾರಿತ ಪಠ್ಯ ಸಂಪಾದಕವನ್ನು ಪ್ರದರ್ಶಿಸುತ್ತದೆ?,Joe,ಜೋ,CD,ಸಿಡಿ,Vi,ವಿ,Pico,ಪಿಕೊ,D
ad499aa6-d5c7-47d8-b715-7117a3a9a202,Linux operating system,ictsm,Which command used displays calendar of current month?,ಯಾವ ಆಜ್ಞೆಯು ಪ್ರಸ್ತುತ ತಿಂಗಳ ಕ್ಯಾಲೆಂಡರ್ ಅನ್ನು ಪ್ರದರ್ಶಿಸುತ್ತದೆ?,$cal,$ ಕ್ಯಾಲ್,$ data,$ ಡೇಟಾ,$id,$id,$ date + %T,$ ದಿನಾಂಕ + %T,A
032e6efb-9104-4377-801f-ebe09f6a9796,Linux operating system,ictsm,Which commans the full path to the current directory?,ಪ್ರಸ್ತುತ ಡೈರೆಕ್ಟರಿಗೆ ಸಂಪೂರ್ಣ ಮಾರ್ಗವನ್ನು ಯಾವುದು ಕಮಾನ್ಸ್ ಮಾಡುತ್ತದೆ?,CD [option] [directory],ಸಿಡಿ [ಆಯ್ಕೆ] [ಡೈರೆಕ್ಟರಿ],cd /usr/sbin,cd /usr/sbin,PWD [option],PWD [ಆಯ್ಕೆ],Cd/,ಸಿಡಿ/,C
69cb540b-8da2-4041-a6ba-8f67caa1f541,Linux operating system,ictsm,Which command is used to rename files and directories?,ಫೈಲ್‌ಗಳು ಮತ್ತು ಡೈರೆಕ್ಟರಿಗಳನ್ನು ಮರುಹೆಸರಿಸಲು ಯಾವ ಆಜ್ಞೆಯನ್ನು ಬಳಸಲಾಗುತ್ತದೆ?,rn,rn,mv,mv,cp,cp,rn-dir,rn-dir,B
7e56e19d-69d0-46c2-8786-519a946fc02f,Monitor and Sound Card,ictsm,What is the another name of touch pad?,ಟಚ್ ಪ್ಯಾಡ್‌ನ ಇನ್ನೊಂದು ಹೆಸರೇನು?,Keypad,ಕೀಪ್ಯಾಡ್,Notepad,ನೋಟ್ಪಾಡ್,Wordpad,ವರ್ಡ್ಪ್ಯಾಡ್,Trackpad,ಟ್ರ್ಯಾಕ್ಪ್ಯಾಡ್,D
bc561d31-df2a-430b-b4ce-579a2dc7db03,Monitor and Sound Card,ictsm,Which one is the most expensive part of the projector?,ಪ್ರೊಜೆಕ್ಟರ್‌ನ ಅತ್ಯಂತ ದುಬಾರಿ ಭಾಗ ಯಾವುದು?,Lens,ಲೆನ್ಸ್,Cable connectors,ಕೇಬಲ್ ಕನೆಕ್ಟರ್ಸ್,Fan,ಅಭಿಮಾನಿ,Rectifier,ರೆಕ್ಟಿಫೈಯರ್,A
9594d2c9-eb2b-4b45-942f-12086d59853c,Monitor and Sound Card,ictsm,What is full form of MIDI in sound card?,ಸೌಂಡ್ ಕಾರ್ಡ್‌ನಲ್ಲಿ MIDI ಯ ಪೂರ್ಣ ರೂಪ ಯಾವುದು?,Musical Instrument Digital Interface,ಸಂಗೀತ ವಾದ್ಯ ಡಿಜಿಟಲ್ ಇಂಟರ್ಫೇಸ್,Multi Instrument Digital Interface,ಮಲ್ಟಿ ಇನ್ಸ್ಟ್ರುಮೆಂಟ್ ಡಿಜಿಟಲ್ ಇಂಟರ್ಫೇಸ್,Musical Instrument Double Interface,ಮ್ಯೂಸಿಕಲ್ ಇನ್ಸ್ಟ್ರುಮೆಂಟ್ ಡಬಲ್ ಇಂಟರ್ಫೇಸ್,Multi Instrument Digital Interchange,ಮಲ್ಟಿ ಇನ್ಸ್ಟ್ರುಮೆಂಟ್ ಡಿಜಿಟಲ್ ಇಂಟರ್ಚೇಂಜ್,A
9ae91973-09ec-414c-b32a-36d15a53f742,Monitor and Sound Card,ictsm,What is the sound frequency range?,ಧ್ವನಿ ಆವರ್ತನ ಶ್ರೇಣಿ ಏನು?,20KHz to 200KHz,20KHz ನಿಂದ 200KHz,5KHz to 50KHz,5KHz ನಿಂದ 50KHz,20Hz to 20KHz,20Hz ನಿಂದ 20KHz,2KHz to 12KHz,2KHz ನಿಂದ 12KHz,C
9d6a7069-1b90-4537-86cf-0a1ebd5e4252,Monitor and Sound Card,ictsm,What is the full form of EGA in Monitor?,ಮಾನಿಟರ್‌ನಲ್ಲಿ EGA ಯ ಪೂರ್ಣ ರೂಪ ಯಾವುದು?,Electrical Graphics Array,ಎಲೆಕ್ಟ್ರಿಕಲ್ ಗ್ರಾಫಿಕ್ಸ್ ಅರೇ,Enrich Graphics Array,ಗ್ರಾಫಿಕ್ಸ್ ಅರೇ ಅನ್ನು ಉತ್ಕೃಷ್ಟಗೊಳಿಸಿ,Electro Static Graphics Array,ಎಲೆಕ್ಟ್ರೋ ಸ್ಟ್ಯಾಟಿಕ್ ಗ್ರಾಫಿಕ್ಸ್ ಅರೇ,Enhanced Graphics Adapter,ವರ್ಧಿತ ಗ್ರಾಫಿಕ್ಸ್ ಅಡಾಪ್ಟರ್,D
5876af9a-7104-4a89-8739-da0b4f591d3c,Linux operating system,ictsm,Which is searching syntax?,ಯಾವುದು ಸಿಂಟ್ಯಾಕ್ಸ್ ಅನ್ನು ಹುಡುಕುತ್ತಿದೆ?,:/string,:/ಸ್ಟ್ರಿಂಗ್,:r filename,:ಆರ್ ಫೈಲ್ ಹೆಸರು,Vi,ವಿ,vi apple.txt,vi apple.txt,A
25e1459f-8a8d-4c52-9cf0-204ea7ece328,Linux operating system,ictsm,What will be the out put of - linux command : $grep ʹhelloʹ ist_file.txt?,ಲಿನಕ್ಸ್ ಆಜ್ಞೆಯ ಔಟ್ ಪುಟ್ ಏನು: $grep ʹhelloʹ ist_file.txt?,Searches hello in the ist_file.txt and outputs/returns the lines containing 'hello',ist_file.txt ನಲ್ಲಿ hello ಅನ್ನು ಹುಡುಕುತ್ತದೆ ಮತ್ತು 'ಹಲೋ' ಹೊಂದಿರುವ ಸಾಲುಗಳನ್ನು ಔಟ್‌ಪುಟ್ ಮಾಡುತ್ತದೆ/ಹಿಂತಿರಿಸುತ್ತದೆ,Show the ip of local machine,ಸ್ಥಳೀಯ ಯಂತ್ರದ ಐಪಿ ತೋರಿಸಿ,Show the DNS of local machine,ಸ್ಥಳೀಯ ಯಂತ್ರದ DNS ತೋರಿಸಿ,Show the home directory,ಹೋಮ್ ಡೈರೆಕ್ಟರಿಯನ್ನು ತೋರಿಸಿ,A
9d810587-8a18-44d6-a083-49bf8bf9eaa8,Linux operating system,ictsm,What is the character begins with the first line in any shell script?,ಯಾವುದೇ ಶೆಲ್ ಸ್ಕ್ರಿಪ್ಟ್‌ನಲ್ಲಿ ಮೊದಲ ಸಾಲಿನಿಂದ ಪ್ರಾರಂಭವಾಗುವ ಅಕ್ಷರ ಯಾವುದು?,",",",",",",",",",",",",",",",",D
5ba987ac-d0ba-4447-976a-f2c857c82191,Linux operating system,ictsm,Which command should be run first before executing shell script?,ಶೆಲ್ ಸ್ಕ್ರಿಪ್ಟ್ ಅನ್ನು ಕಾರ್ಯಗತಗೊಳಿಸುವ ಮೊದಲು ಯಾವ ಆಜ್ಞೆಯನ್ನು ಮೊದಲು ಚಲಾಯಿಸಬೇಕು?,Chmod + x,Chmod + x,Chmod +r,Chmod +r,Chmod +w,Chmod +w,chmod+rwx,chmod+rwx,A
3ff8c3f3-e44f-45f9-9b43-b75bf8459685,Linux operating system,ictsm,Which command is used to delete files and directories on Linux and Unix?,Linux ಮತ್ತು Unix ನಲ್ಲಿ ಫೈಲ್‌ಗಳು ಮತ್ತು ಡೈರೆಕ್ಟರಿಗಳನ್ನು ಅಳಿಸಲು ಯಾವ ಆಜ್ಞೆಯನ್ನು ಬಳಸಲಾಗುತ್ತದೆ?,Del,ಡೆಲ್,mv,mv,cp,cp,rm,rm,D
6f3cc60b-9db9-4a97-baec-feb5305c165a,Linux operating system,ictsm,Which command is used to copy files and directories?,ಫೈಲ್‌ಗಳು ಮತ್ತು ಡೈರೆಕ್ಟರಿಗಳನ್ನು ನಕಲಿಸಲು ಯಾವ ಆಜ್ಞೆಯನ್ನು ಬಳಸಲಾಗುತ್ತದೆ?,CP,ಸಿಪಿ,CD,ಸಿಡಿ,CC,CC,Copy,ನಕಲು ಮಾಡಿ,A
84e8f5ed-d322-47b2-917a-eebe78b390fd,Linux operating system,ictsm,Acronym for sudo in linux is ______,ಲಿನಕ್ಸ್‌ನಲ್ಲಿ ಸುಡೋದ ಸಂಕ್ಷಿಪ್ತ ರೂಪ ______,su,ಸು,superuser does,ಸೂಪರ್ಯೂಸರ್ ಮಾಡುತ್ತದೆ,superuser do,ಸೂಪರ್ಯೂಸರ್ ಮಾಡುತ್ತಾರೆ,super do,ಸೂಪರ್ ಮಾಡಿ,C
6318155d-3785-49f7-b012-c64283645b1c,Linux operating system,ictsm,What is scripting?,ಸ್ಕ್ರಿಪ್ಟಿಂಗ್ ಎಂದರೇನು?,File editor,ಫೈಲ್ ಎಡಿಟರ್,To execute bunch of command,ಆಜ್ಞೆಯ ಗುಂಪನ್ನು ಕಾರ್ಯಗತಗೊಳಿಸಲು,ImageEditor,ಇಮೇಜ್ ಎಡಿಟರ್,vi editor,vi ಸಂಪಾದಕ,B
122afdd9-f127-4443-81bd-35d84bb405a9,Linux operating system,ictsm,What is the key combination used to move screen down one page in linux terminal?,ಲಿನಕ್ಸ್ ಟರ್ಮಿನಲ್‌ನಲ್ಲಿ ಒಂದು ಪುಟದ ಕೆಳಗೆ ಪರದೆಯನ್ನು ಸರಿಸಲು ಬಳಸುವ ಕೀ ಸಂಯೋಜನೆ ಯಾವುದು?,Ctrl + I,Ctrl + I,Alt + F,ಆಲ್ಟ್ + ಎಫ್,Ctrl+F,Ctrl+F,Alt + I,Alt + I,C
b80d4dac-55d7-4112-b25f-65c8e25e540f,Printer and Scanner,ictsm,What is the print speed of line dot matrix printer?,ಲೈನ್ ಡಾಟ್ ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಪ್ರಿಂಟರ್‌ನ ಮುದ್ರಣ ವೇಗ ಎಷ್ಟು?,10 to 75 cps,10 ರಿಂದ 75 ಸಿಪಿಎಸ್,50 to 550 cps,50 ರಿಂದ 550 ಸಿಪಿಎಸ್,More than 1000 cps,1000 ಕ್ಕಿಂತ ಹೆಚ್ಚು cps,More than 1000pps,1000pps ಗಿಂತ ಹೆಚ್ಚು,C
ba38ef35-85a9-4358-8cc9-cbbfa79b4d98,Printer and Scanner,ictsm,What is the another name of F1 button in passbook printer?,ಪಾಸ್‌ಬುಕ್ ಪ್ರಿಂಟರ್‌ನಲ್ಲಿರುವ F1 ಬಟನ್‌ನ ಇನ್ನೊಂದು ಹೆಸರೇನು?,Offline button,ಆಫ್‌ಲೈನ್ ಬಟನ್,Power button,ಪವರ್ ಬಟನ್,Eject button,ಎಜೆಕ್ಟ್ ಬಟನ್,Online button,ಆನ್‌ಲೈನ್ ಬಟನ್,C
1e795846-fb2b-43ae-a289-127e5270af82,Printer and Scanner,ictsm,How is ink transferred to paper in inkjet printers?,ಇಂಕ್ಜೆಟ್ ಮುದ್ರಕಗಳಲ್ಲಿ ಶಾಯಿಯನ್ನು ಕಾಗದಕ್ಕೆ ಹೇಗೆ ವರ್ಗಾಯಿಸಲಾಗುತ್ತದೆ?,Boiling ink,ಕುದಿಯುವ ಶಾಯಿ,Crystal,ಕ್ರಿಸ್ಟಲ್,Motorized pump,ಮೋಟಾರು ಪಂಪ್,Screen deflect ink,ಸ್ಕ್ರೀನ್ ಡಿಫ್ಲೆಕ್ಟ್ ಇಂಕ್,B
16cade15-2aee-4557-8e98-a2095aa38b35,Printer and Scanner,ictsm,Which is an Input device?,ಇನ್‌ಪುಟ್ ಸಾಧನ ಯಾವುದು?,Printer,ಮುದ್ರಕ,Plotter,ಪ್ಲಾಟರ್,Scanner,ಸ್ಕ್ಯಾನರ್,Monitor,ಮಾನಿಟರ್,C
83fa474e-b417-4a3d-be00-4a768a1a5219,Printer and Scanner,ictsm,What allows you to print on both sides of the paper?,ಕಾಗದದ ಎರಡೂ ಬದಿಗಳಲ್ಲಿ ಮುದ್ರಿಸಲು ನಿಮಗೆ ಯಾವುದು ಅವಕಾಶ ನೀಡುತ್ತದೆ?,Duplexer,ಡ್ಯುಪ್ಲೆಕ್ಸರ್,Fuser,ಫ್ಯೂಸರ್,Toner,ಟೋನರ್,Paper swapping unit,ಪೇಪರ್ ವಿನಿಮಯ ಘಟಕ,A
6a5ff9bf-9d73-4c23-9ef1-76ffa4656cc9,Printer and Scanner,ictsm,What is the printing speed of large laser printer?,ದೊಡ್ಡ ಲೇಸರ್ ಪ್ರಿಂಟರ್‌ನ ಮುದ್ರಣ ವೇಗ ಎಷ್ಟು?,150ppm,150ppm,200ppm,200ppm,250ppm,250ppm,300ppm,300ppm,A
